"","ID","Latitude","Longitude","SOx","CO2","NOx","Height","Diam","Velocity","Temp"
"171","1915-1",45.03,-92.7786,23365.944,3009374.725,10675.556,239.268,5.6388,51.5112,308.461944755911
"172","1943-2",46.29,-96.0428,1468.801,500196.225,1036.061,68.58,4.08432,100.584,306.216016370598
"173","1943-3",46.29,-96.0428,1922.172,656986.175,1159.083,68.58,4.08432,100.584,306.216016370598
"174","1961-NEPP",43.7014,-92.9626,2513.685,210310.4,476.492,47.8536,1.8288,94.488,300.260953841315
"175","2008-4",44.0281,-92.4597,1575.082,204487.773,435.534,91.44,2.40792,47.244,295.987442463503
"176","2049-4",30.4408,-89.0265,8798.245,1499235.15,3637.026,106.68,4.93776,87.4776,289.761111111111
"177","2049-5",30.4408,-89.0265,14427.466,2653930.4,7946.108,121.92,6.4008,95.7072,306.205555555556
"178","207-1",30.4311,-81.5508,17949.973,8594375.793,17679.53,195.072,6.79704,47.5488,298.038888888889
"179","207-2",30.4311,-81.5508,21983.544,10253919.216,19281.956,195.072,6.79704,47.5488,295.65
"180","2076-1",37.3596,-94.5913,23929.868,3147758.85,11064.564,123.444,3.9624,89.0016,298.15
"181","2079-5A",39.1306,-94.4778,2140.862,4258456.825,1514.99,92.0496,6.199632,86.2584,323.761111111111
"182","2080-1",38.3108,-93.9331,5270.594,1329384.787,2182.363,137.16,3.62712,94.488,318.611111111111
"183","2080-2",38.3108,-93.9331,5280.155,1369600.99,2237.233,137.16,5.09016,91.1352,318.983333333333
"184","2080-3",38.3108,-93.9331,5152.78,1308617.701,2116.334,137.16,5.09016,91.1352,318.983333333333
"185","2094-1",39.1778,-94.1861,1504.187,340972.978,1008.401,212.1408,4.1148,83.82,313.605555555556
"186","2094-2",39.1778,-94.1861,1615.07,350388.15,1125.357,212.1408,4.1148,83.82,313.605555555556
"187","2094-3",39.1778,-94.1861,10675.697,2349036.522,6966.557,212.1408,4.1148,83.82,313.605555555556
"188","2098-6",39.7246,-94.8773,2613.17,715537.243,2439.028,68.58,3.048,95.7072,270.627777777778
"189","2103-1",38.5583,-90.8361,12783.905,4008810.325,2155.252,213.36,6.2484,103.632,306.483333333333
"190","2103-2",38.5583,-90.8361,13672.378,4268902.1,2324.432,213.36,6.2484,103.632,306.483333333333
"191","2103-3",38.5583,-90.8361,14861.411,4571885.45,2578.856,213.36,6.2484,103.632,306.483333333333
"192","2103-4",38.5583,-90.8361,14184.69,4440039.275,2469.857,213.36,6.2484,103.632,306.483333333333
"193","2104-1",38.4017,-90.3358,3041.436,1143172.675,685.26,76.2,3.3528,99.3648,311.833333333333
"194","2104-2",38.4017,-90.3358,2919.525,1104841.85,561.693,76.2,3.3528,99.3648,310.444444444444
"195","2104-3",38.4017,-90.3358,5877.117,2171715.475,4431.523,106.68,4.2672,105.156,330.594444444444
"196","2104-4",38.4017,-90.3358,6175.369,2243636.5,2068.193,106.68,4.8768,113.9952,323.861111111111
"197","2107-1",38.9158,-90.2917,23595.395,2882678.025,3589.882,151.3332,7.19328,42.3672,281.35
"198","2107-2",38.9158,-90.2917,27666.059,3566105.025,4886.684,151.3332,7.19328,41.7576,281.394444444444
"199","2123-6",38.9658,-92.3175,399.226,40679.141,111.546,91.44,2.4384,100.584,283.333333333333
"200","2123-7",38.9658,-92.3175,594.132,61911.359,166,91.44,2.4384,100.584,283.333333333333
"201","2132-3",39.0919,-94.3261,5318.784,229922.156,326.937,76.2,2.04216,99.3648,307.361111111111
"202","2161-3",37.1086,-93.2592,914.688,373413.009,683.136,60.96,3.6576,91.44,267.488888888889
"203","2161-4",37.1086,-93.2592,1216.433,489723.789,1014.195,60.96,3.6576,91.44,269.783333333333
"204","2161-5",37.1086,-93.2592,2026.258,822222.918,1493.074,106.68,2.538984,109.728,307.05
"205","2167-1",36.5147,-89.5617,7035.634,3542569.152,17719.583,243.84,6.096,98.4504,293.244444444444
"206","2167-2",36.5147,-89.5617,6664.523,3688131.308,14520.327,243.84,6.096,106.9848,294.261111111111
"207","2168-MB1",39.5531,-92.6392,2996.732,1437579.637,4169.857,125.2728,5.285232,96.9264,285.5
"208","2168-MB2",39.5531,-92.6392,4259.449,2070079.61,6181.59,121.92,5.285232,96.012,285.633333333333
"209","2168-MB3",39.5531,-92.6392,9991.083,5076656.86,6119.929,189.5856,9.32688,90.8304,287.777777777778
"210","2187-2",45.7747,-108.4803,2874.487,1268273.65,1655.508,106.68,3.5052,82.296,319.538888888889
"211","2240-8",41.4275,-96.4619,1332.142,573829.822,576.828,53.6448,2.441448,91.44,255.724055555556
"212","2277-1",40.5589,-96.7842,2418.627,1013897.48,4795.095,53.0352,3.53568,92.6592,295.927777777778
"213","2277-2",40.5589,-96.7842,2459.597,1057476.561,4405.174,53.0352,3.53568,92.6592,295.927777777778
"214","2291-1",41.3297,-95.9458,1839.653,437446.132,683.327,62.1792,4.4196,91.44,322.038888888889
"215","2291-2",41.3297,-95.9458,3018.589,723480.318,1137.27,62.1792,4.4196,91.44,322.038888888889
"216","2291-3",41.3297,-95.9458,2999.44,718377.359,1130.004,62.1792,4.4196,91.44,322.038888888889
"217","2291-4",41.3297,-95.9458,3759.771,867433,1305.412,62.1792,2.92608,91.44,322.594444444444
"218","2291-5",41.3297,-95.9458,5087.07,1210869.375,1982.57,62.1792,3.5052,91.44,322.038888888889
"219","2324-1",36.6531,-114.6364,186.87,974563.2,1780.582,60.96,4.102608,91.44,287.924881353096
"220","2324-2",36.6531,-114.6364,224.022,961731.95,1861.089,73.152,3.843528,91.44,292.461332667245
"221","2324-3",36.6531,-114.6364,270.386,1031675.975,1440.373,82.296,3.928872,91.44,290.867514421328
"222","2324-4",36.6531,-114.6364,1412.475,2285140.25,3933.081,152.4,6.4599312,44.196,285.937877309419
"223","2364-1",43.1411,-71.4692,10819.232,1051642.295,1748.091,69.1896,2.5908,97.536,338.261111111111
"224","2364-2",43.1411,-71.4692,22947.75,2441422.692,3281.685,97.2312,4.4196,106.68,312.094444444444
"225","2367-4",43.0978,-70.7842,2680.531,444011.904,641.276,68.8848,2.4384,106.68,294.594444444444
"226","2367-5",43.0978,-70.7842,2566.412,413469.826,524.475,69.1896,2.4384,96.6216,301.372222222222
"227","2367-6",43.0978,-70.7842,2528.063,414325.397,582.485,68.8848,2.4384,106.68,294.594444444444
"228","2378-2",39.29,-74.6339,942.853,905195.272,2130.33,144.78,4.572,88.392,293.705555555556
"229","2403-2",40.7478,-74.0719,23960.218,3847174.546,8581.675,151.7904,5.334,79.248,347.808347415399
"230","2408-1",40.1797,-74.7325,8723.272,1781981.652,4230.683,99.3648,5.334,91.44,305.441789881133
"231","2408-2",40.1797,-74.7325,8019.406,1594867.938,3723.996,99.3648,5.334,91.44,305.441789881133
"232","2442-4",36.69,-108.4814,4537.961,5621337.257,12732.674,115.824,8.6868,42.672,298.915
"233","2442-5",36.69,-108.4814,4613.787,5250989.07,12267.526,115.824,8.6868,42.672,288.705555555556
"234","2451-1",36.8006,-108.4386,2822.937,2663210.725,5484.64,121.92,6.096,38.7096,296.65
"235","2451-2",36.8006,-108.4386,2539.758,2514875.7,5528.085,121.92,6.096,38.7096,294.65
"236","2451-3",36.8006,-108.4386,5579.589,4029543.25,7967.004,121.92,8.5344,39.0144,287.816666666667
"237","2451-4",36.8006,-108.4386,5627.176,3889780.375,7829.283,121.92,8.5344,39.0144,287.816666666667
"238","2480-3",41.5736,-73.9747,3800.525,856235.85,1097.72,73.152,2.86512,92.0496,305.372222222222
"239","2480-4",41.5736,-73.9747,6258.17,1358294.6,1903.629,73.152,3.84048,92.6592,305.372222222222
"240","2554-2",42.49,-79.35,9559.963,1386564.041,1313.72,95.0976,0.70104,56.6928,291.483333333333
"241","26-1",33.2442,-86.4567,16572.331,1607214.511,3099.464,228.6,10.1346,83.5152,277.372222222222
"242","26-2",33.2442,-86.4567,16975.818,1639533.889,3211.351,228.6,10.1346,83.5152,277.372222222222
"243","26-3",33.2442,-86.4567,18683.468,1756450.907,3816.768,228.6,10.11936,79.248,288.261111111111
"244","26-4",33.2442,-86.4567,20770.808,1966619.893,4257.209,228.6,10.11936,79.248,288.261111111111
"245","26-5",33.2442,-86.4567,54655.983,5264229.2,10987.523,230.124,10.3632,90.5256,287.483333333333
"246","2682-10",42.0917,-79.2417,757.23,53893.025,112.311,59.436,2.1336,21.9456,291.483333333333
"247","2706-1",35.4714,-82.5431,6883.753,1211426.625,2659.305,99.6696,5.0292,37.7952,286.95
"248","2706-2",35.4714,-82.5431,8655.149,1318525.25,2054.905,99.6696,5.0292,36.8808,286.527777777778
"249","2712-1",36.4833,-79.0731,18806.974,2603581.05,3786.448,121.92,6.7056,38.4048,281.261111111111
"250","2712-2",36.4833,-79.0731,28210.505,3804664.325,4369.486,121.92,8.6868,38.4048,283.316666666667
"251","2718-1",35.1897,-81.0122,4910.499,680111.532,846.522,111.252,8.9916,36.576,285.927777777778
"252","2718-2",35.1897,-81.0122,6132.838,830653.724,982.713,111.252,8.9916,36.576,285.927777777778
