"particle_no","lon","lat","height","hour"
"00088",-88.1726,32.9653,152,4
"00089",-88.1754,32.9719,152,4
"00090",-88.1612,32.9416,122,4
"00091",-88.161,32.9538,130,4
"00092",-88.1599,32.9492,152,4
"00093",-88.1587,32.9501,114,4
"00094",-88.1556,32.9444,135,4
"00095",-88.1555,32.9412,122,4
"00096",-88.161,32.9509,118,4
"00097",-88.1677,32.9623,156,4
"00098",-88.1584,32.949,132,4
"00099",-88.1597,32.9503,120,4
"00100",-88.162,32.9533,150,4
"END",NA,NA,NA,4
"00001",-88.3716,33.1998,154,5
"00002",-88.3755,33.2146,151,5
"00003",-88.3837,33.2357,179,5
"00004",-88.3659,33.1817,103,5
"00005",-88.3703,33.1951,151,5
"00006",-88.3688,33.2053,138,5
"00007",-88.3688,33.1895,139,5
"00008",-88.3679,33.1941,169,5
"00009",-88.3565,33.1644,137,5
"00010",-88.3523,33.1477,110,5
"00011",-88.3635,33.1933,154,5
"00012",-88.3498,33.1645,137,5
"00013",-88.3702,33.2109,144,5
"00014",-88.3586,33.1784,163,5
"00015",-88.3547,33.1723,150,5
"00016",-88.362,33.1944,176,5
"00017",-88.3615,33.1929,142,5
"00018",-88.3466,33.1413,88,5
"00019",-88.3708,33.2066,146,5
"00020",-88.3545,33.1737,137,5
"00021",-88.3459,33.1683,138,5
"00022",-88.3378,33.1479,136,5
"00023",-88.3447,33.1662,119,5
"00024",-88.3508,33.1804,136,5
"00025",-88.3561,33.1889,161,5
"00026",-88.3538,33.1788,164,5
"00027",-88.338,33.1403,111,5
"00028",-88.3307,33.1205,81,5
"00029",-88.342,33.1573,152,5
"00030",-88.3583,33.2005,164,5
"00031",-88.3168,33.1085,112,5
"00032",-88.3386,33.1637,155,5
"00033",-88.3125,33.1008,87,5
"00034",-88.3307,33.1425,142,5
"00035",-88.3336,33.14,126,5
"00036",-88.3185,33.1134,90,5
"00037",-88.3302,33.146,140,5
"00038",-88.3359,33.1579,119,5
"00039",-88.3279,33.132,141,5
"00040",-88.3337,33.1501,124,5
"00041",-88.3282,33.1497,143,5
"00042",-88.3271,33.1493,150,5
"00043",-88.318,33.1223,120,5
"00044",-88.3282,33.1518,127,5
"00045",-88.3379,33.1704,133,5
"00046",-88.3204,33.1318,124,5
"00047",-88.3281,33.1531,158,5
"00048",-88.3285,33.155,149,5
"00049",-88.3387,33.1699,148,5
"00050",-88.3203,33.1303,117,5
"00051",-88.3179,33.1402,158,5
"00052",-88.3105,33.1211,138,5
"00053",-88.3136,33.1217,127,5
"00054",-88.3255,33.1626,172,5
"00055",-88.318,33.1401,127,5
"00056",-88.3115,33.1261,165,5
"00057",-88.3174,33.142,179,5
"00058",-88.3229,33.153,170,5
"00059",-88.3203,33.1435,126,5
"00060",-88.3286,33.1614,143,5
"00061",-88.2934,33.0942,145,5
"00062",-88.3175,33.1536,176,5
"00063",-88.2852,33.0741,92,5
"00064",-88.301,33.113,133,5
"00065",-88.3038,33.1163,140,5
"00066",-88.3087,33.1343,171,5
"00067",-88.2943,33.1055,137,5
"00068",-88.2913,33.0878,105,5
"00069",-88.32,33.1598,194,5
"00070",-88.3019,33.1106,130,5
"00071",-88.3131,33.1567,188,5
"00072",-88.2941,33.1108,120,5
"00073",-88.2965,33.1181,146,5
"00074",-88.283,33.0789,75,5
"00075",-88.2838,33.0782,106,5
"00076",-88.2901,33.1067,144,5
"00077",-88.2806,33.0752,108,5
"00078",-88.293,33.1103,159,5
"00079",-88.2978,33.119,163,5
"00080",-88.2796,33.0711,87,5
"00081",-88.2808,33.0934,142,5
"00082",-88.2623,33.0464,86,5
"00083",-88.2657,33.0541,106,5
"00084",-88.2704,33.0668,121,5
"00085",-88.2914,33.1193,172,5
"00086",-88.2789,33.082,144,5
"00087",-88.2914,33.1225,161,5
"00088",-88.2837,33.0985,127,5
"00089",-88.2867,33.1083,149,5
"00090",-88.2702,33.0666,123,5
"00091",-88.2698,33.0806,95,5
"00092",-88.2715,33.0809,129,5
"00093",-88.2654,33.0685,114,5
"00094",-88.2671,33.0758,136,5
"00095",-88.2639,33.0652,126,5
"00096",-88.2687,33.0716,101,5
"00097",-88.2799,33.098,139,5
"00098",-88.2678,33.0775,123,5
"00099",-88.2665,33.072,115,5
"00100",-88.2743,33.0876,157,5
"END",NA,NA,NA,5
"00001",-88.4739,33.3534,126,6
"00002",-88.4764,33.368,110,6
"00003",-88.486,33.3994,168,6
"00004",-88.4634,33.3125,113,6
"00005",-88.4716,33.3459,165,6
"00006",-88.4681,33.3531,136,6
"00007",-88.4692,33.3367,124,6
"00008",-88.4714,33.3535,169,6
"00009",-88.4572,33.3093,124,6
"00010",-88.4516,33.2797,129,6
"00011",-88.466,33.3465,142,6
"00012",-88.4515,33.3099,119,6
"00013",-88.4711,33.3592,165,6
"00014",-88.4625,33.3348,153,6
"00015",-88.4577,33.3226,167,6
"00016",-88.4668,33.3567,157,6
"00017",-88.4615,33.3416,111,6
"00018",-88.442,33.2633,89,6
"00019",-88.4715,33.3572,121,6
"00020",-88.4552,33.3186,148,6
"00021",-88.4484,33.3137,144,6
"00022",-88.4408,33.2928,137,6
"00023",-88.4439,33.3032,119,6
"00024",-88.4521,33.3264,174,6
"00025",-88.4595,33.3446,133,6
"00026",-88.4572,33.3356,156,6
"00027",-88.4374,33.272,85,6
"00028",-88.4258,33.2358,106,6
"00029",-88.4464,33.3083,119,6
"00030",-88.4611,33.3581,176,6
"00031",-88.4172,33.2404,112,6
"00032",-88.443,33.3158,156,6
"00033",-88.4094,33.2188,87,6
"00034",-88.4339,33.2886,149,6
"00035",-88.4363,33.2787,92,6
"00036",-88.4163,33.2332,121,6
"00037",-88.4331,33.2928,116,6
"00038",-88.4354,33.2963,79,6
"00039",-88.4324,33.2776,89,6
"00040",-88.4344,33.2886,138,6
"00041",-88.4312,33.2973,174,6
"00042",-88.432,33.2992,141,6
"00043",-88.4204,33.259,94,6
"00044",-88.4283,33.2913,132,6
"00045",-88.4399,33.3139,110,6
"00046",-88.4222,33.2692,82,6
"00047",-88.4326,33.3056,132,6
"00048",-88.4318,33.305,184,6
"00049",-88.4418,33.3191,93,6
"00050",-88.4208,33.2656,132,6
"00051",-88.4224,33.2923,136,6
"00052",-88.4139,33.2649,125,6
"00053",-88.4168,33.2599,137,6
"00054",-88.4308,33.3215,162,6
"00055",-88.4192,33.2791,126,6
"00056",-88.4182,33.2811,147,6
"00057",-88.4246,33.3024,129,6
"00058",-88.4284,33.3111,151,6
"00059",-88.4218,33.2828,138,6
